siteID,siteTitle,url,description,topic,pictureURL,logoURL
1,Abduzeedo - Sites of the Week,http://abduzeedo.com/tags/sites-week,Weekly blog posts of websites that great looking design and quality functionality.,Design Inspiration,http://abduzeedo.com/files/originals/sow140718.jpg,http://abduzeedo.com/files/originals/wp_1680-255.png
2,HTML5 UP,http://html5up.net,HTML5 websites templates,Templates,http://html5up.net/uploads/images/alpha.jpg,http://i59.tinypic.com/es5m5z.png
3,pttrns,http://www.pttrns.com,Mobile User Interface Patterns,Design Inspiration,http://i59.tinypic.com/j5zeps.png,http://i59.tinypic.com/23jk1vo.jpg
4,Creative Market - Themes,https://creativemarket.com/themes,Numerous website design templates that use everything from HTML to Bootstrap and WordPress,Templates,http://i62.tinypic.com/rtks9s.png,https://tinktank.in/wp-content/uploads/2013/08/creative-market-logo.svg
5,Pinterest,http://www.pinterest.com/search/pins/?q=website%20design&term_meta%5B%5D=website%7Ctyped&term_meta%5B%5D=design%7Ctyped,Pinterest boards that focus on website design,Design Inspiration,http://i59.tinypic.com/2rm0405.png,https://business.pinterest.com/sites/business/files/wordmark_thumb.jpg
6,ThemeForest,http://themeforest.net/category/all,A repository of website templates coded and in PSD formats,Templates,http://i59.tinypic.com/2ldwshl.png,http://fontslogo.com/wp-content/uploads/2013/02/themeforest-Logo-Font.jpg
